"Success Page for Order #%1","Página de Sucesso do pedido #%1"
Loading...,Carregando...
Reorder,Refazer pedido
"Details of your order","Detalhes do seu pedido"
Status,Status
"Show Password","Ver Senha"
"Email Address","Endereço de Email"
Next,Próximo
Password,Senha
"Remember Me","Permanecer logado"
"What is this?","O que é isto?"
Login,Entrar
"Forgot Your Password?","Esqueceu a sua senha?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Marque &quot;Me Lembrar&quot; para acessar seu carrinho de compras nesse computador quando você estiver desconectado."
Identification:,Identificação:
edit,editar
"Order Data","Detalhes do Pedido"
"My billing and shipping address are the same","Meu endereço de pagamento e entrega são os mesmos"
"Password Strength: ","Força da senha: "
"No Payment Methods","Não há Formas de Pagamento"
"Payment Information","Informação de Pagamento"
"No Payment method available.","Nenhum método de pagamento disponível."
"Billing Address","Endereço de Cobrança"
"Apply Discount Code","Aplicar Cupom de Desconto"
"The use of a discount coupon is optional, you only need to inform if you have one.","O uso de cupom de desconto é opcional, informar apenas se possuir."
"Enter discount code","Inserir cupom de desconto"
"Apply Discount","Aplicar Cupom"
"Cancel coupon","Cancelar Cupom"
Cancel,Cancelar
"Ship To:","Enviar para:"
"Shipping Method:","Método de envio:"
"Shipping Address","Endereço de entrega"
"New Address","Novo Endereço"
"Shipping Methods","Métodos de envio"
"Sorry, no quotes are available for this order at this time","Desculpe, nenhuma cotação está disponível para este pedido no momento"
"View and Edit Cart","Ver e Editar Carrinho"
of,de
"Item in Cart","Item no Carrinho"
"Items in Cart","Items no Carrinho"
"View Details","Ver Detalhes"
"Options Details","Detalhes das Opções"
Qty,Qtd
"Free Shipping","Frete Grátis"
O2TI,O2TI
"Theme Full Checkout","Theme Full Checkout"
Enabled,Habilitado
"Move Billing Address","Mover Endereço de Pagamento"
"We will keep your items and you can use another email to complete your purchase.","Manteremos seus itens e você pode usar outro e-mail para concluir a compra."
"When exiting your account your cart will be deleted.","Ao sair de sua conta, seu carrinho será excluído."
